police_station,violations,risk_score,risk_score_v2,priority,recommended_officers,recommended_patrol_window,expected_reduction
Upparpet,34468,100.0,100.0,P1 - Critical,5,09:00-12:00,35.0
Shivajinagar,28044,81.36242311709412,95.53462199540664,P1 - Critical,5,09:00-12:00,33.4
Malleshwaram,22200,64.40756643843565,90.47552683801852,P1 - Critical,5,09:00-12:00,31.7
HAL Old Airport,20819,60.40095160728792,89.08507269459271,P2 - High,4,10:00-13:00,31.2
City Market,17646,51.19531159336196,85.50523033433856,P2 - High,4,10:00-13:00,29.9
Vijayanagara,14652,42.50899384936753,81.47998815675808,P2 - High,4,10:00-13:00,28.5
Rajajinagar,10998,31.907856562608792,75.26979537862128,P2 - High,4,10:00-13:00,26.3
Kodigehalli,10916,31.66995474062899,75.10778276023117,P2 - High,4,10:00-13:00,26.3
Magadi Road,8558,24.8288267378438,69.83944126590765,P3 - Medium,3,11:00-14:00,24.4
Jeevanbheemanagar,6736,19.542764303121736,64.65703437141677,P3 - Medium,3,11:00-14:00,22.6
K.R. Pura,6546,18.99152837414413,64.03766659684986,P3 - Medium,3,11:00-14:00,22.4
Halasuru Gate,6294,18.260415457815945,63.18786433566122,P3 - Medium,3,11:00-14:00,22.1
Mahadevapura,6187,17.949982592549613,62.81669704428104,P3 - Medium,3,11:00-14:00,22.0
Chikkajala,5834,16.925844261343855,61.54500793890874,P3 - Medium,3,11:00-14:00,21.5
HSR Layout,5018,14.558431008471626,58.28352722906088,P4 - Low,2,Routine Patrol,20.4
Bellandur,4964,14.40176395497273,58.04932680550159,P4 - Low,2,Routine Patrol,20.3
High ground,4951,14.364047812463737,57.99256482481388,P4 - Low,2,Routine Patrol,20.3
Byatarayanapura,4555,13.215156086805152,56.18808690613344,P4 - Low,2,Routine Patrol,19.7
Electronic City,4333,12.571080422420795,55.10656388993587,P4 - Low,2,Routine Patrol,19.3
Pulikeshinagar(F.Town),4136,11.999535801322969,54.09939080809492,P4 - Low,2,Routine Patrol,18.9
Halasur,4011,11.636880584890331,53.43513705825232,P4 - Low,2,Routine Patrol,18.7
Jayanagara,3813,11.062434722061042,52.33938501100781,P4 - Low,2,Routine Patrol,18.3
Chamarajpet,3795,11.010212370894742,52.23696544953375,P4 - Low,2,Routine Patrol,18.3
Banaswadi,3759,10.905767668562143,52.0306612391436,P4 - Low,2,Routine Patrol,18.2
Basavanagudi,3604,10.45607520018568,51.11924380620722,P4 - Low,2,Routine Patrol,17.9
Ashok Nagar,3524,10.223975861668794,50.63338180265882,P4 - Low,2,Routine Patrol,17.7
Adugodi,3332,9.66693744922827,49.420798712729685,P4 - Low,2,Routine Patrol,17.3
Cubbon Park,3255,9.443541835905767,48.91475825197364,P4 - Low,2,Routine Patrol,17.1
Hebbala,3209,9.310084716258558,48.60670647949127,P4 - Low,2,Routine Patrol,17.0
Wilson Garden,3108,9.017059301380993,47.91455004615373,P4 - Low,2,Routine Patrol,16.8
Sheshadripuram,3090,8.964836950214691,47.78883817532848,P4 - Low,2,Routine Patrol,16.7
Mico Layout,2588,7.508413601021237,43.95190487344126,P4 - Low,2,Routine Patrol,15.4
Yeshwanthpura,2587,7.505512359289776,43.9435408335749,P4 - Low,2,Routine Patrol,15.4
Yelahanka,2440,7.079029824765,42.67748258039676,P4 - Low,2,Routine Patrol,14.9
Hulimavu,2395,6.948473946849251,42.274632726779735,P4 - Low,2,Routine Patrol,14.8
Whitefield,2303,6.681559707554833,41.42693757279344,P4 - Low,2,Routine Patrol,14.5
R.T. Nagar,1736,5.03655564581641,35.31099896239142,P4 - Low,2,Routine Patrol,12.4
J.P. Nagar,1637,4.749332714401764,34.040482549557595,P4 - Low,2,Routine Patrol,11.9
Madiwala,1563,4.534640826273645,33.03960261572034,P4 - Low,2,Routine Patrol,11.6
V.V.Puram (C.Pet),1556,4.514332134153418,32.94248472235252,P4 - Low,2,Routine Patrol,11.5
Sadashivanagar,1445,4.19229430196124,31.341232281323244,P4 - Low,2,Routine Patrol,11.0
Kamakshipalya,1431,4.151676917720785,31.13059515290533,P4 - Low,2,Routine Patrol,10.9
Banashankari,1202,3.4872925612162007,27.35794880464313,P4 - Low,2,Routine Patrol,9.6
Jalahalli,1160,3.365440408494836,26.58856724507913,P4 - Low,2,Routine Patrol,9.3
Jnanabharathi,1063,3.084019960543112,24.69965694417136,P4 - Low,2,Routine Patrol,8.6
Peenya,974,2.8258094464430776,22.808432503512314,P4 - Low,2,Routine Patrol,8.0
Devanahalli Airport,940,2.7271672275734016,22.03996897939934,P4 - Low,2,Routine Patrol,7.7
Hennuru,892,2.5879076244632704,20.906432890261424,P4 - Low,2,Routine Patrol,7.3
K.G. Halli,892,2.5879076244632704,20.906432890261424,P4 - Low,2,Routine Patrol,7.3
Thalagattapura,870,2.524080306371127,20.366374307578862,P4 - Low,2,Routine Patrol,7.1
K.S. Layout,828,2.402228153649762,19.29637620440153,P4 - Low,2,Routine Patrol,6.8
Chikkabanavara,785,2.277474759196936,18.1432075213354,P4 - Low,2,Routine Patrol,6.4
Kengeri,464,1.3461761633979343,6.778536436250112,P4 - Low,2,Routine Patrol,2.4
No Police Station,339,0.9835209469653012,0.0,P4 - Low,2,Routine Patrol,0.0
