location,violations,latitude,longitude,police_station
"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",4090,13.185700367188263,77.68003697254278,Chikkajala
"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",3999,12.981556165039866,77.61030151807981,Shivajinagar
"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",3785,12.933819366718264,77.69089953928616,HAL Old Airport
"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",3027,13.008264684164457,77.69511907074143,K.R. Pura
"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2670,12.981604450246351,77.60827094966582,Shivajinagar
"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",2639,13.035338682167392,77.58902587617636,Hebbala
"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",2604,12.97642012887865,77.57735214934715,Upparpet
"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2549,12.980306814593959,77.60743220145154,Shivajinagar
"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",2416,12.932953374975527,77.69131687080935,HAL Old Airport
"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",2315,12.973254427645788,77.57917115870411,Upparpet
"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",2122,12.964653865165191,77.5761055860051,City Market
"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",2117,13.01147203854511,77.55448088880492,Malleshwaram
"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2111,12.984188791331123,77.60331432074845,Shivajinagar
"Subedar Chatram Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1940,12.977575607164948,77.57553172371134,Upparpet
"Dickenson Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",1924,12.980980686954263,77.61040720514553,Shivajinagar
"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",1869,12.974376936971641,77.5454060458534,Vijayanagara
"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",1857,12.96496208939866,77.53861853500737,Vijayanagara
"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1797,12.977299144741236,77.57647181942126,Upparpet
"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",1743,13.071059593398578,77.58788809953528,Kodigehalli
"Pailwan M Krishnappa Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",1529,12.964665877763244,77.58403156304774,Halasuru Gate
"Sahakar Nagar Road, Fortune Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",1514,13.071082333883753,77.58792565508585,Kodigehalli
"80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",1448,13.008547897997238,77.55444447548342,Malleshwaram
"Central Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1319,12.983798790447308,77.60359186186504,Shivajinagar
"KR Main Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",1318,12.963651617830045,77.57663687549318,City Market
"1st Cross Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",1315,12.973467305475284,77.55112731779467,Magadi Road
"AS Char Main Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",1274,12.969845727811276,77.57568044952656,City Market
"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",1219,13.006605825840854,77.57118724987694,Malleshwaram
"Subedar Chatram Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1219,12.979033724036096,77.57506638318294,Upparpet
"Silver Jubilee Park Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",1171,12.96441389564099,77.57751941228877,City Market
"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",1088,12.977345745955882,77.57077114990808,Chamarajpet
"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",1085,12.997475822580645,77.54815008663594,Vijayanagara
"Da Ra Bendre Road, Kirloskar Foundry, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",1077,13.011395694243268,77.5512710975859,Malleshwaram
"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",1066,12.999295543298043,77.54923213250048,Rajajinagar
"Hospital Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1043,12.982000240747844,77.60642796423778,Shivajinagar
"6th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1022,12.976069571037183,77.57638663561643,Upparpet
"Mysore Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",1002,12.964208561179424,77.57661036213358,City Market
"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",987,12.981232100405268,77.5985097899696,Shivajinagar
"Kempegowda Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",978,12.975350008895706,77.57619280705522,Upparpet
"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",961,12.991305254318418,77.58854808220603,High ground
"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",948,12.978188352637131,77.57374362088608,Upparpet
"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",948,13.000405703421828,77.67746355983655,Mahadevapura
"Sahakar Nagar Road, Olivia, Raintree Boulevard, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",944,13.071413628785285,77.58827065030198,Kodigehalli
"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",941,12.976373348671626,77.57844346482466,Upparpet
